idxYear, Jan, Feb, Marc, P
158,1929 -0.434 -0.601 -0.485 -0.441 -0.435 -0.404 -0.436 -0.262 -0.273 -0.214 -0.137 -0.562 -0.390
160,1930 -0.358 -0.338 -0.244 -0.224 -0.247 -0.197 -0.180 -0.090 -0.093 -0.081  0.069 -0.055 -0.170
162,1931 -0.127 -0.254 -0.114 -0.181 -0.201 -0.023 -0.010 -0.036 -0.050 -0.022 -0.149 -0.101 -0.106
164,1932  0.070 -0.188 -0.201 -0.077 -0.167 -0.256 -0.134 -0.188 -0.003 -0.094 -0.296 -0.266 -0.150
166,1933 -0.324 -0.349 -0.401 -0.303 -0.291 -0.327 -0.294 -0.154 -0.328 -0.249 -0.406 -0.515 -0.328
168,1934 -0.330 -0.148 -0.429 -0.385 -0.150 -0.091 -0.180 -0.116 -0.139 -0.083  0.036 -0.109 -0.177
170,1935 -0.357  0.041 -0.233 -0.331 -0.330 -0.218 -0.150 -0.150 -0.194 -0.054 -0.326 -0.253 -0.213
172,1936 -0.393 -0.339 -0.334 -0.196 -0.178 -0.150 -0.079 -0.071 -0.109 -0.040 -0.063 -0.098 -0.171
174,1937 -0.125  0.072 -0.262 -0.118 -0.090 -0.007  0.025  0.041  0.148  0.131  0.066 -0.074 -0.016
176,1938  0.045 -0.014 -0.025  0.034 -0.103 -0.092 -0.044  0.002  0.025  0.166  0.052 -0.198 -0.013
178,1939 -0.115 -0.121 -0.295 -0.116 -0.040  0.015 -0.036 -0.036 -0.015 -0.101  0.021  0.337 -0.042
180,1940 -0.047  0.080 -0.043  0.143  0.035  0.043  0.148  0.102  0.129  0.098 -0.002  0.200  0.074
182,1941 -0.044  0.112 -0.123  0.033  0.058  0.055  0.156  0.036 -0.147  0.210 -0.013  0.078  0.034
184,1942  0.250  0.016 -0.045 -0.009  0.122  0.027 -0.062 -0.061 -0.014 -0.093 -0.056 -0.080 -0.001
186,1943 -0.191 -0.027 -0.164  0.022  0.033 -0.078  0.021  0.031 -0.015  0.230  0.104  0.110  0.006
188,1944  0.324  0.124  0.116  0.044  0.118  0.106  0.148  0.207  0.165  0.210  0.090  0.083  0.145
190,1945  0.093  0.045  0.035  0.209 -0.061 -0.040  0.003  0.238  0.104  0.093 -0.003 -0.201  0.043
192,1946  0.041 -0.124 -0.131 -0.005 -0.084 -0.270 -0.113 -0.157 -0.098 -0.071 -0.114 -0.347 -0.123
194,1947 -0.157 -0.146 -0.080 -0.062 -0.077 -0.094 -0.071 -0.119 -0.167  0.032  0.024 -0.236 -0.096
196,1948 -0.023 -0.240 -0.291 -0.120  0.052 -0.014 -0.135 -0.049 -0.140 -0.061 -0.179 -0.350 -0.129
198,1949 -0.029 -0.248 -0.120 -0.157 -0.119 -0.243 -0.191 -0.086 -0.137 -0.101 -0.194 -0.223 -0.154
200,1950 -0.312 -0.382 -0.230 -0.254 -0.156 -0.116 -0.121 -0.168 -0.258 -0.214 -0.395 -0.270 -0.240
202,1951 -0.373 -0.521 -0.276 -0.120  0.020  0.050  0.027  0.111  0.121  0.116 -0.082  0.066 -0.072
204,1952  0.089  0.062 -0.168  0.039  0.017  0.015  0.084  0.094  0.090 -0.022 -0.130 -0.041  0.011
206,1953 -0.009  0.093  0.010  0.225  0.149  0.141  0.043  0.088  0.087  0.084 -0.007  0.021  0.077
208,1954 -0.244 -0.090 -0.183 -0.116 -0.171 -0.132 -0.198 -0.102 -0.115 -0.012  0.117 -0.165 -0.118
210,1955  0.107 -0.193 -0.399 -0.231 -0.238 -0.179 -0.210 -0.090 -0.144 -0.116 -0.325 -0.368 -0.199
212,1956 -0.239 -0.288 -0.362 -0.309 -0.336 -0.229 -0.210 -0.291 -0.274 -0.264 -0.220 -0.158 -0.265
214,1957 -0.219 -0.159 -0.199 -0.041  0.034  0.065 -0.062  0.072  0.041 -0.000 -0.004  0.052 -0.035
